UNIT	TIMESTAMP	TYPE	MARKET	INSTRUMENT	OPEN	HIGH	LOW	CLOSE	FIRST_MESSAGE_TIMESTAMP	LAST_MESSAGE_TIMESTAMP	FIRST_MESSAGE_VALUE	HIGH_MESSAGE_VALUE	HIGH_MESSAGE_TIMESTAMP	LOW_MESSAGE_VALUE	LOW_MESSAGE_TIMESTAMP	LAST_MESSAGE_VALUE	TOTAL_INDEX_UPDATES	VOLUME	QUOTE_VOLUME	VOLUME_TOP_TIER	QUOTE_VOLUME_TOP_TIER	VOLUME_DIRECT	QUOTE_VOLUME_DIRECT	VOLUME_TOP_TIER_DIRECT	QUOTE_VOLUME_TOP_TIER_DIRECT
DAY	1743465600	267	cadli	BTC-USD	82560.48347796	85521.622333574	82445.1753493556	85180.9100394273	1743465600	1743551999	82560.5123741167	85521.622333574	1743550408	82445.1753493556	1743466569	85180.9100394273	1215204	209710.431302603	17651391448.318	128841.915686775	10847479016.0576	28576.95189645	2406840470.74624	23888.0046318	2012224717.48373
DAY	1743552000	267	cadli	BTC-USD	85180.9100394273	88343.7604425948	82356.8174372953	82520.5436831296	1743552000	1743638399	85179.0805288854	88343.7604425948	1743625027	82356.8174372953	1743634999	82520.5436831296	1121170	323187.807680031	27626465270.8659	208227.972180646	17816678069.7165	49501.02826654	4231395361.89692	41995.83996864	3591150044.71369
DAY	1743638400	267	cadli	BTC-USD	82520.5436831296	83936.6086089833	81303.327595795	83178.0989176816	1743638400	1743724799	82520.537917182	83936.6086089833	1743645120	81303.327595795	1743692848	83178.0989176816	1163836	250494.179417262	20690873668.2688	145157.260744376	11981202119.6929	35401.14827395	2919025642.26325	28989.02444265	2388941929.61953
DAY	1743724800	267	cadli	BTC-USD	83178.0989176816	84718.9973412098	81686.8784187355	83863.5530600233	1743724800	1743811199	83178.0984115164	84718.9973412098	1743760665	81686.8784187355	1743766230	83863.5530600233	1259168	305276.427652311	25416397348.3098	195007.145395468	16233179786.8958	45412.04491302	3777655714.32085	37937.44923466	3155283617.1071
DAY	1743811200	267	cadli	BTC-USD	83863.5530600233	84232.6790252461	82379.8560292131	83525.4321428469	1743811200	1743897599	83863.5507154674	84232.6790252461	1743816472	82379.8560292131	1743867925	83525.4321428469	1085177	99540.8988899634	8288798631.62227	54322.1968822958	4522268461.06634	9771.2282199	813456162.8591	7571.31936437	630204161.756317
DAY	1743897600	267	cadli	BTC-USD	83525.4321428469	83743.9422225801	77123.2704909605	78382.6183359094	1743897600	1743983999	83525.427831419	83743.9422225801	1743903045	77123.2704909605	1743981950	78382.6183359094	949891	236550.681881607	18981717265.2545	144799.819734981	11600335393.2917	36145.23022283	2887249019.59494	30275.04794658	2416113189.70603
DAY	1743984000	267	cadli	BTC-USD	78382.6183359094	81050.798488047	74496.5780858278	79153.2058283226	1743984000	1744070399	78382.6036883509	81050.798488047	1744035487	74496.5780858278	1744009480	79153.2058283226	1113515	583625.219016626	45340397710.1678	378774.432513797	29439739512.8995	87057.08760115	6772050976.2958	73434.57573318	5714632480.75975
DAY	1744070400	267	cadli	BTC-USD	79153.2058283226	80841.4787706406	76212.1379415755	76270.133036587	1744070400	1744156799	79153.1978876363	80841.4787706406	1744078391	76212.1379415755	1744151941	76270.133036587	1280309	325945.413694014	25596551870.6162	206201.704629779	16177225418.807	48648.95786774	3811129193.83229	40531.35267539	3173260039.73838
DAY	1744156800	267	cadli	BTC-USD	76270.133036587	83573.0441150811	74613.1306393334	82603.3207337946	1744156800	1744243199	76270.2144169415	83573.0441150811	1744233860	74613.1306393334	1744162178	82603.3207337946	1361082	540187.30490621	42620565266.9033	334087.215400455	26335274599.5489	79950.02686041	6315297247.18036	65210.99763844	5148912578.0859
DAY	1744243200	267	cadli	BTC-USD	82603.3207337946	82718.7853839226	78468.3617257453	79576.5705243912	1744243200	1744329599	82603.3257135589	82718.7853839226	1744243636	78468.3617257453	1744300939	79576.5705243912	1131919	300304.201504351	24250204187.2937	176372.944022586	14226693807.3734	39962.28302172	3221368686.51149	32322.68911193	2603699871.12319
DAY	1744329600	267	cadli	BTC-USD	79576.5705243912	82363.7732067821	78958.2967953432	82363.6188693481	1744329600	1744365272	79576.4751386201	82363.7732067821	1744365272	78958.2967953432	1744333178	82363.6188693481	495994	106015.378428197	8559571961.30607	55007.8003413544	4438886314.66604	11710.45073748	944187025.36956	8857.84386634	713642641.223026
